Name,Species,M.O.M. Class,Colors,Origin,Affiliation,Traits
Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['black', 'blue']","['North America', 'East Asia', 'Western Europe']","['Ilvermorny School', 'Horned Serpent']",A large snake with a single horn on its head. It is native to North America and is associated with the element of water. It is highly intelligent and can communicate with humans through telepathy. It is also the symbol of one of the houses of Ilvermorny School of Witchcraft and Wizardry.
Garnet Horned Serpent,"['Snake', 'Serpent']",XXXXX,['red'],['Western Europe'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to Western Europe. It has red and smooth scales and a single horn on its head. It is one of the most ancient and extinct species of horned serpents. It was fairly large and had a very vivid scarlet flame.
Labradorite Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['blue', 'purple']",['East Asia'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to North America. It has iridescent and crystalline scales and a large crystal in its forehead. It is one of the most common and diverse species of horned serpents. It was highly intelligent and could communicate with humans through telepathy.
Obsidian Horned Serpent,"['Snake', 'Serpent']",XXXXX,['black'],['North America'],"['Ilvermorny School', 'Horned Serpent']",A horned serpent native to the United States and Canada. It has glittering and black scales and striking blue eyes. It is one of the most vicious and rare species of horned serpents. It had a very loud roar and a blue-green fire.
Lapis Horned Serpent,"['Snake', 'Serpent']",XXXXX,['blue'],['North America'],"['Ilvermorny School', 'Horned Serpent']","A horned serpent native to the west coast of the United States. It has blue and smooth scales and a long, pointed snout. It is one of the shortest and most elusive species of horned serpents. It had a very bright and sparkling fire."
Jade Horned Serpent,"['Snake', 'Serpent']",XXXXX,"['green', 'yellow']",['North America'],"['Ilvermorny School', 'Horned Serpent']","A horned serpent native to China. It has green and smooth scales and a single horn on its head. It is one of the most revered and ancient species of horned serpents. It is very wise and benevolent, and can grant wishes to those who are worthy. It has a very soft and soothing fire."
Lethifold,"['Dementor', 'Creature']",XXXXX,['black'],['Oceania'],"['Dark Arts', 'Dementors']","A large, flat creature that resembles a dark cloak or blanket. It is native to the tropics and hunts at night, sliding under doors and smothering its prey. It can be repelled by a Patronus Charm, but otherwise leaves no trace of its victims. It is also known as the Living Shroud or the Alethiafold."
Acromantula,['Spider'],XXXXX,['black'],['Southeast Asia'],"['Forbidden Forest', 'Runic Alphabet'] ","A huge, carnivorous spider capable of human speech. It is thought to be wizard-bred for the purpose of guarding treasure hoards. It originated in Borneo but has colonies elsewhere, including one in the Forbidden Forest. It has a taste for human flesh and can produce a powerful venom."
Basilisk,"['Snake', 'Chicken', 'Toad']",XXXXX,"['scarlet', 'yellow', 'green']","['Greece', 'Worldwide']",['Dark Arts'],"A giant serpent, also known as the King of Serpents. It is a magical beast that is usually bred by Dark wizards. It can cause instant death by looking into its eyes or petrify anyone who looks through a reflection. It can also sense the presence of its enemies and has a deadly fang. It can live for hundreds of years and can be controlled by Parselmouths."
Chimaera,"['Lion', 'Goat', 'Dragon']",XXXXX,"['gold', 'white']",['Greece'],"['Hagrid, Care of Magical Beasts']","A vicious, bloodthirsty creature that has the head of a lion, the body of a goat, and the tail of a dragon. It is native to Greece and has a venomous sting that is instantly fatal. It has skin that repels virtually all known charms, so it is extremely difficult to subdue by magic. It is also known as the Living Hodge-Podge."
Dragon,['Dragon'],XXXXX,['multi'],['Worldwide'],['Dragon Sanctuaries'],"A large, flying reptile that breathes fire and has scales, claws, and wings. It is one of the most powerful and dangerous magical creatures in the world. There are many different breeds of dragons, each with its own characteristics and abilities."
Antipodean Opaleye,['Dragon'],XXXXX,"['white', 'multi']",['New Zealand'],"['Dragon Sanctuaries', 'Gringotts']"," A dragon native to New Zealand and Australia. It has pearly scales and glittering, multicolored eyes. It is one of the most beautiful dragons and also one of the most peaceful. It feeds mainly on sheep and prefers secluded valleys as its habitat. It produces a very vivid scarlet flame. They are loyal and the least dangerous or deadly dragon of all. They are loyal and the least dangerous or deadly dragon of all."
Catalonian Fireball,['Dragon'],XXXXX,"['green', 'gold']","['Catalonia', 'Spain']",['Dragon Sanctuaries'],"A dragon native to Spain. It has bright red and gold scales and long, thin horns. It is very aggressive and territorial, and will attack any other creature that enters its range. It feeds on goats, wild boar, and humans. It produces a mushroom-shaped fireball when it breathes fire."
Chinese Fireball,['Dragon'],XXXXX,"['scarlet', 'yellow']",['China'],['Dragon Sanctuaries'], A dragon native to China. It has scarlet and smooth scales and a fringe of golden spikes around its face. It is also known as the Liondragon. It is very intelligent and can understand human speech. It feeds on pigs and humans and prefers mountainous regions as its habitat. It produces an explosive fireball when it breathes fire.
Common Welsh Green,['Dragon'],XXXXX,['green'],['Wales'],['Dragon Sanctuaries'],"A dragon native to Wales. It has green and dark green scales and two club-shaped horns. It is one of the least troublesome dragons and avoids human contact. It feeds on sheep and cows and prefers open countryside as its habitat. It produces a narrow jet of fire when it breathes fire.  Only fights when provoked. It nests in higher, mountainous regions and is a more subdued breed and rarely kills more than sheep and small mammals.  Only fights when provoked. It nests in higher, mountainous regions and is a more subdued breed and rarely kills more than sheep and small mammals."
Hebridean Black,['Dragon'],XXXXX,"['purple', 'black']",['Scotland'],"['Hebridean Black Dragon', 'Quidditch']","A dragon native to the Hebrides islands of Scotland. It has black and rough scales and purple eyes. It is one of the largest and most ferocious dragons, reaching up to thirty feet in length. It has a ridge of spikes along its back and a tail tipped with an arrow-shaped spike. It feeds on deer, cattle, and humans and prefers rocky coastlines as its habitat. It produces a powerful fire when it breathes fire."
Hungarian Horntail,['Dragon'],XXXXX,"['yellow', 'black']",['Hungary'],['Dragon Sanctuaries'],"A dragon native to Hungary. It has black and bronze scales and yellow eyes. It is considered the most dangerous dragon, as it has a very aggressive temperament and a deadly weapon: a long, spiked tail that can whip at great speed. It feeds on goats, sheep, and humans and prefers mountainous regions as its habitat. It produces a very high-temperature fire when it breathes fire. It has a lizard-like appearance and the ability to fly up to 150 miles per hour. It has a lizard-like appearance and the ability to fly up to 150 miles per hour."
Norwegian Ridgeback,['Dragon'],XXXXX,['black'],['Norway'],['Dragon Sanctuaries']," A dragon native to Norway. It has black and brown scales and red eyes. It is very similar to the Hungarian Horntail, but has a distinctive row of spines along its back. It is one of the rarest dragons and also one of the most vicious. It feeds on large mammals, including aquatic ones, and humans and prefers remote mountains as its habitat. It produces a very loud roar and a blue-green fire when it breathes fire. Its fangs are venomous Its fangs are venomous"
Peruvian Vipertooth,['Dragon'],XXXXX,"['red, copper']",['Peru'],['Dragon Sanctuaries'],"A dragon native to Peru. It has copper and smooth scales and short horns. It is the smallest dragon, but also the fastest and the most venomous. It has long fangs that can inject a deadly venom into its prey. It feeds on goats, cows, and humans and prefers tropical regions as its habitat. It produces a very fast and accurate jet of fire when it breathes fire. Whilst it mainly feeds on goats, it has a particular taste for humans. It has the ability to blend into its rocky surroundings. It is considered one of the most dangerous dragon breeds, and its venomous bite can be lethal. Whilst it mainly feeds on goats, it has a particular taste for humans. It has the ability to blend into its rocky surroundings. It is considered one of the most dangerous dragon breeds, and its venomous bite can be lethal."
Portuguese Long Snout,['Dragon'],XXXXX,['green'],['Portugal'],"['Breeding', 'Dragon Sanctuaries']","A dragon native to Portugal. It has silver and blue scales and a long, pointed snout. It is one of the most elegant dragons and also one of the most elusive. It feeds on fish and birds and prefers coastal areas as its habitat. It produces a very bright and sparkling fire when it breathes fire"
Romanian Longhorn,['Dragon'],XXXXX,['green'],['Romania'],"['Dragon Sanctuaries', 'Mountains']","A dragon native to Romania. It has green and dark green scales and two long, golden horns. It is one of the most prized dragons, as its horns are highly valued for their magical properties. It feeds on large animals and humans and prefers forested regions as its habitat. It produces a very loud and forceful fire when it breathes fire. These dragons are known for their aggression and are used as guardians for wizarding establishments. These dragons are known for their aggression and are used as guardians for wizarding establishments."
Swedish Short Snout,['Dragon'],XXXXX,['blue'],['Sweden'],"['Dragon Sanctuaries, Potions']"," A dragon native to Sweden. It has silver and blue scales and a short, blunt snout. It is one of the most beautiful dragons and also one of the most friendly. It feeds on reindeer and moose and prefers cold regions as its habitat. It produces a very hot and blue fire when it breathes fire."
Ukrainian Ironbelly,['Dragon'],XXXXX,"['grey', 'silver']",['Ukraine'],['Wyvern'],"A dragon native to Ukraine. It has metallic gray and thick scales and red eyes. It is the largest dragon, weighing up to six tons and having a wingspan of up to fifty feet. It is one of the most powerful and resilient dragons, as it can withstand most spells and physical attacks. It feeds on cattle, horses, and humans and prefers mountainous regions as its habitat. It produces a very strong and long-lasting fire when it breathes fire."
Seine Sewer Water Dragon,['Dragon'],XXXXX,"['green', 'yellow']","['Paris', 'France']",['Sewers'],"A dragon native to France. It has dark green and slimy scales and yellow eyes. It is one of the most mysterious and secretive dragons, as it lives in the sewers of Paris and rarely emerges. It feeds on rats, fish, and humans and prefers dark and damp regions as its habitat. It produces a very foul-smelling and acidic fire when it breathes fire."
Manticore,"['Lion', 'Scorpion']",XXXXX,['gold'],"['Africa', 'East Asia', 'India']",['Dark Arts'],"A large, magical beast with a human-like head, a lion’s body, and the tail of a scorpion. It is a sentient creature that can speak and resist charms, but also has violent tendencies. It is native to Greece and has a sting that causes instant death. It croons when it devours its food and has skin that deflects nearly every known spell."
African Jungle Manticore,"['Lion', 'Scorpion']",XXXXX,['gold'],['Africa'],['Dark Arts'],"A manticore native to Africa. It has a human-like head, a lion’s body, and a scorpion tail. It is one of the most evil and feared creatures, often accused of being responsible for many bad things. It has three rows of teeth, ears and light-blue eyes like those of a man; its tail contains a sting more than a cubit long at the end. It croons when it devours its food and has skin that deflects nearly every known spell."
East Asian Manticore,"['Lion', 'Scorpion']",XXXXX,['red'],['East Asia'],"['Fire', 'Mountains']","A manticore native to Asia. It has a lion-like head, a dragon’s body, and a snake tail. It is one of the most revered and ancient creatures, often associated with royalty and wisdom. It has scales of various colors, horns and whiskers like those of a dragon; its tail can spit venom or fire. It roars when it is angry and has skin that absorbs most forms of magic."
Indian Manticore,"['Lion', 'Scorpion', 'Bat']",XXXXX,"['dark', 'blue']",['India'],['Gliding'],"A manticore native to India. It has a tiger-like head, a goat’s body, and a peacock tail. It is one of the most intelligent and curious creatures, often interested in human affairs and culture. It has stripes of black and orange, horns and a beard like those of a goat; its tail can fan out and display colorful feathers. It speaks when it is friendly and has skin that changes color according to its mood."
Nundu,['Leopard'],XXXXX,"['yellow', 'black']",['East Africa'],['Toxicity'],"A nundu native to East Africa. It has a leopard-like head, a large cat’s body, and no tail. It is one of the most dangerous and silent creatures, often moving undetected and causing disease and death with its breath. It has spots of black and yellow, eyes and ears like those of a cat; its breath is toxic and filled with disease that can wipe out entire villages. It hisses when it is threatened and has skin that is resistant to most physical attacks."
Striped Nundu,"['Leopard', 'Cat']",XXXXX,"['yellow', 'black']",['India'],['Domestication'],"A nundu native to South Africa. It has a zebra-like head, a horse’s body, and a short tail. It is one of the most peaceful and graceful creatures, often living in harmony with other animals and avoiding human contact. It has stripes of black and white, eyes and a mane like those of a horse; its breath is sweet and refreshing, and can heal minor wounds and ailments. It neighs when it is happy and has skin that is sensitive to touch and sound."
Pufferneck Nundo,"['Leopard', 'Cat']",XXXXX,"['yellow', 'black']",['Not Specified'],['Breeding Project'],"A nundo native to North America. It has a porcupine-like head, a bear’s body, and a long tail. It is one of the most defensive and solitary creatures, often hiding in caves and forests and protecting its territory with its quills. It has quills of brown and gray, eyes and a snout like those of a porcupine; its breath is sour and acidic, and can corrode metal and stone. It grunts when it is annoyed and has skin that can inflate and deflate like a balloon."
Tusked Nundu,"['Leopard', 'Cat']",XXXXX,"['yellow', 'black']",['Nothern India'],"['Fear', 'Respect']","A nundu native to Asia. It has an elephant-like head, a rhino’s body, and a short tail. It is one of the most powerful and resilient creatures, often roaming the plains and mountains and facing any challenge with its tusks. It has tusks of ivory and gray, eyes and a trunk like those of an elephant; its breath is hot and dry, and can create dust storms and droughts. It trumpets when it is angry and has skin that is thick and tough like armor."
Pygmy Nundu,"['Leopard', 'Cat']",XXXXX,"['yellow', 'black']",['East Africa'],['Komodo Dragons'],"A nundu native to Australia. It has a koala-like head, a kangaroo’s body, and a long tail. It is one of the smallest and cutest creatures, often living in trees and feeding on eucalyptus leaves. It has fur of gray and white, eyes and a nose like those of a koala; its breath is minty and cool, and can create frost and snow. It squeaks when it is scared and has skin that is soft and fluffy like cotton"
Quintaped,['Beast'],XXXXX,['red'],['Scotland'],"['Duels', 'Revenge', 'Transfigured']","A quintaped native to Scotland. It has a bear-like head, a low-slung body, and five clubfooted legs. It is one of the most carnivorous and bloodthirsty creatures, often hunting humans and other animals with its claws. It has fur of reddish-brown, eyes and teeth like those of a bear; its legs are strong and agile, and can crush bones and rocks. It growls when it is hungry and has skin that is coarse and hairy like a rug."
Wampus Cat,"['Cat', 'Sabretooth', 'Cougar']",XXXXX,"['yellow', 'white', 'brown']",['United States'],"['Mammal Death', 'Mountains']","A wampus cat native to North America. It has a cat-like head, a six-legged body, and a long tail. It is one of the most mysterious and elusive creatures, often living in the swamps and emitting eerie sounds. It has fur of black and yellow, eyes and whiskers like those of a cat; its legs are fast and stealthy, and can run on water and land. It howls when it is lonely and has skin that is smooth and sleek like silk."
Werewolf,"['Wolf', 'Human']",XXXXX,['multi'],['Worldwide'],"['Lord Voldermort', 'Werewolves']","A werewolf native to Europe. It has a wolf-like head, a human’s body, and no tail. It is one of the most cursed and feared creatures, often transforming from a human to a wolf during the full moon and losing control of its actions. It has fur of gray and brown, eyes and ears like those of a wolf; its body is muscular and hairy, and can heal quickly and regenerate limbs. It snarls when it is in pain and has skin that is vulnerable to silver and wolfsbane."
Erkling,['House Elf'],XXXX,"['yellow', 'brown']","['United Kingdom', 'Germany']",['Not Specified'],"An erkling native to Germany. It has a human-like head, a thin body, and pointed ears. It is one of the most mischievous and wicked creatures, often luring children with its high-pitched laugh and eating them. It has skin of pale green, eyes and hair like those of a human; its body is slender and nimble, and can climb trees and walls. It giggles when it is amused and has skin that is slippery and hard to catch."
Golden Snidget,['Bird'],XXXX,"['gold', 'scarlet']",['Northern Europe'],['Quidditch'],"A small golden bird with fully rotational wings and a long, thin beak. It is one of the most agile and fast creatures, able to change speed and direction almost instantaneously. It has golden feathers and red, jewel-like eyes. It was once used in Quidditch as a target, but is now a protected species."
Hidebehind,"['Demisguise', 'Ghoul']",XXXX,['silver'],['United States'],"['Bogles', 'Boggarts', 'Magic']","A nocturnal, forest-dwelling, spectre-like beast that preys on humanoid creatures. It is one of the most elusive and feared creatures, able to conceal itself behind almost any object and emit eerie sounds. It has dark and slimy skin and yellow eyes. It was created by a rogue wizard who bred a Demiguise with a ghoul."
Kappa,"['Monkey', 'Bird', 'Turtle']",XXXX,['green'],['Japan'],"['Dark Arts', 'Water']","A water-dwelling creature that resembles a scaly monkey with webbed hands and feet. It is one of the most mischievous and dangerous creatures, often drowning its victims and stealing their blood or liver. It has green and reptilian skin and a hollow on top of its head that holds water. It can be placated by bowing to it or giving it cucumbers."
Reem,['Cattle'],XXXX,['gold'],"['United States', 'East Asia']","['Magic Blood', 'Potions']","A large horned animal that resembles a bull or an ox. It is one of the most powerful and majestic creatures, often symbolizing strength and courage. It has brown and thick fur and a single horn on its forehead. It can live for hundreds of years and is very rare and elusive"
Snallygaster,"['Occamy', 'Dragon', 'Bird']",XXXX,"['purple', 'blue']",['United States'],"['Magic', 'Wands']","A bird-reptile chimera that originated from the superstitions of early German immigrants. It is one of the most carnivorous and bloodthirsty creatures, often swooping down to snatch its prey and drain their blood. It has metallic and smooth scales and a long, sharp beak. It can fly silently and swiftly and has a single eye"
Tebo,['Warthog'],XXXX,"['grey', 'brown']",['Democratic Republic of the Congo'],['Shields'],"An ash-coloured magical warthog that can make itself invisible. It is one of the most peaceful and herbivorous creatures, often living in secluded valleys and feeding on plants. It has gray and smooth skin and a large, curved tusk. It can also tell the future and communicate with humans."
Winged Horse,"['Horse', 'Hippogriffs', 'Pegasid']",XXXX,['multi'],['Worldwide'],['Pureblood']," A horse with wings attached to its back that can fly. It is one of the most graceful and elegant creatures, often associated with beauty and freedom. It has various colors and sizes depending on the breed, such as the Abraxan, the Aethonan, the Granian, and the Thestral. It can be tamed and ridden by skilled wizards and witches."
Centaur,"['Human', 'Horse']",XXXX,['multi'],"['United Kingdom', 'Greece', 'Croatia']","['Herds', 'Foloi Oak Forest']","A creature with the upper body of a human and the lower body and legs of a horse. It is one of the most intelligent and proud creatures, often living in tribes and following their own laws and customs. It has various colors and features depending on the region, such as the Greek, the Roman, and the Persian. It can use magic and weapons and has a great knowledge of astrology and divination."
Demiguise,"['Hidebehind', 'Ape']",XXXX,"['brown', 'silver', 'blue', 'black']",['East Asia'],['Invisibility Cloaks'],"A peaceful, herbivorous creature that can make itself invisible and tell the future. It resembles an orangutan with large, black eyes and long, silky hair which can be woven into Invisibility Cloaks. It is native to the Far East and has a very keen sense of sight and hearing. It can only be seen by those who are trained in understanding and circumnavigating its nature."
Erumpent,['Rhinoceros'],XXXX,['grey'],['Africa'],['Potions'],"A large grey African beast of great power that resembles a rhinoceros. It is one of the most dangerous and explosive creatures, as it has a thick hide that repels most charms and curses, a large, sharp horn that contains a fluid that explodes, and a long, rope-like tail. It can cause great damage and destruction with its charge and its breath."
Graphorn,['Bull'],XXXX,['purple'],['Europe'],"['Mountain Trolls', 'Arithmancy', 'Potions']","A large, hump-backed creature with two very long, sharp horns. It is one of the most resilient and stubborn creatures, as it has a thick skin that can repel most spells and hexes, and it will attack anyone who approaches it. It is native to the mountains of Europe and has a gray and purple color. It can be used to make protective potions and garments."
Griffin,"['Hippogriff', 'Bird', 'Lion']",XXXX,"['yellow', 'white', 'brown']",['Greece'],['Treasure'],"A majestic creature with the head and wings of an eagle and the body and tail of a lion. It is one of the most loyal and noble creatures, often serving as guardians and companions to powerful wizards and witches. It is native to Greece and has a golden and brown color. It can fly very fast and high and has a keen eyesight and hearing."
Kelpie,"['Horse', 'Demon', 'Plant']",XXXX,['green'],"['United Kingdom', 'Ireland', 'Scotland']","['Water', 'Animal Fae', 'Demons', 'Metamorphmagi', 'Loch Ness Monster']","A shape-shifting water demon that can take various forms, but prefers that of a horse. It is one of the most cunning and malicious creatures, often luring its victims to ride on its back and then dragging them underwater and drowning them. It is native to Britain and Ireland and has a green and slimy color. It can be controlled by placing a bridle over its head."
Merperson,"['Siren', 'Selkie', 'Merrow']",XXXX,['multi'],"['Greece', 'Worldwide']","['Sirens', 'Death']","A humanoid creature that lives underwater and has a fish-like tail. It is one of the most ancient and diverse creatures, with many different subspecies and cultures, such as the Merrow, the Selkie, and the Siren. It is found worldwide and has various colors and features depending on the region. It can communicate with humans using Mermish, a language that sounds like screeching."
Merrow,"['Merpeople', 'Selkie']",XXXX,"['green', 'blue', 'grey']",['Scotland'],['Sirens'],"A type of merperson that is native to Ireland. It has a greenish skin and hair, webbed fingers, and a red cap that grants them the ability to live underwater. It is one of the most friendly and gentle types of merpeople, often helping humans in need and falling in love with them. It can also use magic and charms to protect its home and family."
Selkie,"['Merpeople', 'Merrow', 'Human']",XXXX,"['dark', 'blue']",['Ireland'],['Seal-Skin'],"A type of merperson that is native to Scotland. It has a brownish skin and hair, and a seal-like coat that allows them to transform into a seal. It is one of the most secretive and elusive types of merpeople, often avoiding human contact and living in isolated islands. It can only stay on land for a limited time and will lose its ability to return to the sea if its coat is stolen."
Siren,['Merpeople'],XXXX,"['green', 'gold', 'silver']","['Greece', 'Carribean']","['Beauty', 'Death', 'Magic'] ","A type of merperson that is native to Greece. It has a pale skin and hair, and a bird-like body and wings. It is one of the most seductive and dangerous types of merpeople, often using its enchanting voice and music to lure sailors to their doom. It can also fly and manipulate the wind and the waves to create storms and shipwrecks."
Occamy,"['Serpent', 'Snake', 'Bird']",XXXX,"['purple', 'turqoise', 'teal']","['East Asia', 'India']",['Choranaptyxic'],"A winged, serpentine creature that can grow or shrink to fit the available space. It is one of the most protective and territorial creatures, often guarding its eggs, which are made of pure silver, with fierce aggression. It is native to the Far East and India and has a blue and green color. It can fly and slither and has a very sharp beak and teeth."
Phoenix,"['Hoohoo', 'Thunderbird', 'Bird']",XXXX,"['gold', 'scarlet', 'black']","['Egypt', 'India', 'China']",['The Dumbledore Family'],"A magnificent, immortal bird that can burst into flames and be reborn from its ashes. It is one of the most loyal and noble creatures, often forming a strong bond with a single wizard or witch. It is native to Egypt and has a red and gold color. It can fly and carry heavy loads and has a beautiful and magical song that can heal and inspire."
Runespoor,"['Serpent', 'Snake']",XXXX,"['orange', 'black']",['Burkina Faso'],"['Dark Arts', 'Potions']","A three-headed snake that can grow up to six feet long. It is one of the most intelligent and cunning creatures, often used by Dark wizards and witches for their sinister purposes. It is native to Burkina Faso and has a orange and black color. It can produce a powerful venom and has a different personality for each head: the planner, the dreamer, and the critic."
Sphinx,['Cat'],XXXX,['brown'],['Egypt'],"['Grecian Ptolemaic Dynasty', 'Riddles', 'Oedipus' ]","A creature with the head of a human and the body of a lion. It is one of the most wise and powerful creatures, often posing riddles and guarding treasures or secrets. It has various colors and features depending on the culture, such as the Egyptian, the Greek, and the Ethiopian. It can use magic and weapons and has a great knowledge of history and mysteries."
