Name,Species,M.O.M. Class,Colors,Origin,Affiliation,Traits
Wingless Sphinx,['Cat'],XXXX,['brown'],['Egypt'],"['Grecian Ptolemaic Dynasty', 'Riddles', 'Oedipus' ]","A type of sphinx that is native to Egypt. It has a human-like head, a lion’s body, and no wings. It is one of the most ancient and revered creatures, often symbolizing royalty and divinity. It has a smooth and pearly skin and a long, tiered wig. It can communicate with humans and has a great knowledge of astrology and geometry."
Winged Sphinx,['Cat'],XXXX,['brown'],['Egypt'],"['Grecian Ptolemaic Dynasty', 'Riddles', 'Oedipus' ]","A type of sphinx that is native to Greece. It has a human-like head, a lion’s body, and a pair of wings. It is one of the most treacherous and merciless creatures, often challenging humans to answer a riddle and devouring them if they fail. It has a smooth and scarlet skin and a fringe of golden spikes. It can fly and has a great knowledge of poetry and philosophy."
Thestral,"['Winged Horse', 'Horse', 'Bat']",XXXX,"['white', 'black']","['United Kingdom', 'Iberian Peninsula', 'Ireland']","['Dark Arts', 'Death']","A winged, skeletal horse that can only be seen by those who have witnessed death. It is one of the most mysterious and perceptive creatures, often associated with death and misfortune. It has a black and rough skin and red, jewel-like eyes. It can fly and carry heavy loads and has a beautiful and magical song that can heal and inspire."
Thunderbird,"['Pheonix', 'Bird', 'Eagle']",XXXX,"['gold', 'white']",['United States'],"['Pheonixes', 'Electricity', 'Wands']","A large, majestic bird that can create storms and thunder with its wings. It is one of the most loyal and noble creatures, often forming a strong bond with a single wizard or witch. It is native to North America and has a golden and brown color. It can fly very fast and high and has a keen eyesight and hearin"
Troll,['Yeti'],XXXX,['multi'],['Scandinavia'],['Giant Clubs'],"A humanoid creature that dwells deep in the wilderness of Scandinavia. It is one of the most dim-witted and unfriendly creatures, often hunting humans and other animals with its claws and teeth. It has a pale and coarse skin and a large nose and eyes. It can uproot trees and hurl boulders and has a strong connection with nature."
Forest Troll,['Troll'],XXXX,['green'],"['Forbidden Forest', 'United Kingdom']","['Magical Forests', 'Giant Clubs', 'Traps']","A troll that lives in the woods and has a strong connection with nature. It is one of the most peaceful and herbivorous creatures, often feeding on plants and avoiding human contact. It has a green and slimy skin and webbed hands and feet. It can use natural magic and charms to protect its home and family."
Mountain Troll,['Troll'],XXXX,['grey'],['Northern Europe'],"['Graphorns', 'Giant Clubs']","A troll that lives in the mountains and has a thick, rocky skin. It is one of the most powerful and resilient creatures, often facing any challenge with its strength and endurance. It has a brown and gray skin and a single horn on its forehead. It can use physical attacks and weapons to crush its enemies and obstacles."
River Troll,['Troll'],XXXX,"['purple', 'blue']",['Ocean'],"['Water', 'Bridges']","A troll that lives in the waterways and has a shape-shifting ability. It is one of the most cunning and malicious creatures, often luring its victims to ride on its back and then drowning them. It has a blue and smooth skin and a hollow on top of its head that holds water. It can control the currents and tides and has a great knowledge of aquatic life."
Troll of Nadroj,"['Troll', 'Mountain Troll']",XXXX,"['brown', 'grey']",['Hungary'],"['Mountain Trolls', 'Giant Clubs', 'Bonewarp']","A breed of troll that is similar to a mountain troll but has huge hands with clawed, disproportionately long fingers. It is one of the most vicious and rare creatures, often hiding in caves and forests and protecting its territory with its quills. It has a black and glittering skin and striking blue eyes. It can produce a powerful venom and has a different personality for each finger."
Unicorn,['Horse'],XXXX,"['gold', 'silver', 'white']",['Northern Europe'],"['Black Forest', 'Forbidden Forest', 'Magic']","A horse-like creature with a single horn on its forehead. It is one of the most pure and graceful creatures, often symbolizing innocence and beauty. It has various colors and sizes depending on the breed, such as the Arabian, the Celtic, and the Siberian. It can use magic and healing and has a great knowledge of herbs and potions."
Bundimun,['Fungus'],XXX,"['yellow', 'green']",['Worldwide'],['Magical Fungi'],"A small, green, fungus-like creature that secretes a greenish substance that rots the wood and metal it infests. It is one of the most destructive and parasitic creatures, often infesting houses and buildings and causing them to collapse. It has a green and slimy skin and a large, round mouth. It can produce a foul-smelling gas that can knock out anyone who inhales it."
Fwooper,"['Owl', 'Bird']",XXX,"['pink', 'orange', 'green', 'yellow']",['Africa'],"['Insanity', 'Silence Charms', 'Runes']","A brightly colored bird that sings a high-pitched song that can drive the listener insane. It is one of the most cheerful and musical creatures, often living in flocks and feeding on insects and fruits. It has various colors and patterns depending on the breed, such as the African, the Indian, and the Brazilian. It can fly and sing and has a great knowledge of melodies and rhythms."
Glumbumble,"['Bee', 'Insect']",XXX,"['grey', 'black']",['Northern Europe'],"['Melancholy', 'Suicide']","A large, gray, furry insect that produces a thick, treacle-like substance that induces melancholy in anyone who consumes it. It is one of the most gloomy and sluggish creatures, often living in dark and damp places and feeding on nettles and thistles. It has a gray and furry skin and a long, thin sting. It can produce a sticky and bitter substance that can be used to cure the effects of the Fwooper’s song."
Hippocampus,"['Horse', 'Fish', 'Seahorse']",XXX,['blue'],"['Greece', 'Mediterranean', 'Carribean']",['Merpeople'],"A creature with the head and forelegs of a horse and the tail and hindquarters of a fish. It is one of the most agile and fast creatures, often living in the sea and feeding on seaweed and fish. It has various colors and features depending on the region, such as the Mediterranean, the Atlantic, and the Pacific. It can swim and jump and has a great knowledge of navigation and geography."
Jarvey,['Ferret'],XXX,['brown'],"['United Kingdom', 'Ireland', 'North America']","['Insults', 'Curse Words']","A creature that resembles an overgrown ferret and can speak rudimentary human language. It is one of the most mischievous and rude creatures, often living in gardens and fields and feeding on rats and moles. It has a brown and smooth skin and a long, pointed snout. It can speak and insult and has a great knowledge of gossip and secrets."
Leprechaun,"['Human', 'Goblin']",XXX,['green'],['Ireland'],"['Quidditch', 'Pranks']","A small, humanoid creature that wears green clothes and a hat and can make itself invisible. It is one of the most cunning and elusive creatures, often hiding its gold in pots at the end of rainbows and avoiding human contact. It has a green and smooth skin and a long, red beard. It can use magic and tricks and has a great knowledge of gold and treasure."
Lobalug,['Marine Creature'],XXX,"['yellow', 'blue']","['North Sea', 'Atantic Ocean']","['Merpeople', 'Defensive Weapons', 'Potions']","A creature that resembles a worm and lives at the bottom of the sea. It is one of the most defensive and solitary creatures, often hiding in caves and crevices and protecting itself with its venom. It has a gray and slimy skin and a short, blunt snout. It can spit venom or water and has a great knowledge of pressure and depth."
Mackled Malaclaw,['Lobster'],XXX,"['grey', 'green']",['Europe'],"['Bad Luck', 'Illness', 'Rash']","A creature that resembles a lobster and lives on the rocky coastlines of the sea. It is one of the most unlucky and harmful creatures, often causing misfortune and illness to anyone who touches it or eats it. It has a blue and smooth skin and a large, curved claw. It can produce a rash or a fever and has a great knowledge of tides and currents."
Nogtail,"['Pig', 'Demon']",XXX,"['brown', pink']","['Europe', 'Russia', 'United States', 'South America']","['Dark Arts', 'Curses', 'Magic']","A creature that resembles a stunted piglet with long legs, a thick tail, and narrow black eyes. It is one of the most parasitic and destructive creatures, often infesting farms and feeding on the blood of pigs. It has a pink and rough skin and a long, thick tail. It can run very fast and has a great knowledge of stealth and evasion."
Pogrebin,['Demon'],XXX,['grey'],['Russia'],"['Dark Arts', 'Dementors', 'Magic', 'Futility', 'Despair']","A small, gray, hairy demon that follows humans and makes them feel hopeless. It is one of the most annoying and depressing creatures, often tailing people and crouching down to look like a rock when they turn around. It has a gray and hairy skin and a large, round head. It can produce a sense of despair and has a great knowledge of human psychology."
Shrake,['Fish'],XXX,"['red', 'brown']",['Atlantic Ocean'],"['Revenge', 'Potions', 'Boil Cures']","A metallic, scaly fish that destroys Muggle fishing nets. It is one of the most destructive and artificial creatures, often created by wizards to sabotage Muggle fishing. It has a metallic and smooth skin and a long, sharp beak. It can produce a powerful bite and has a great knowledge of Muggle technology."
Streeler,['Snail'],XXX,"['purple', 'red', 'yellow', 'blue', 'orange', 'pink']",['Africa'],['Killing Horklumps'],"A colorful, venomous snail that changes color every hour. It is one of the most colorful and poisonous creatures, often leaving behind a trail of venom that kills plants and animals. It has a colorful and smooth skin and a long, thin shell. It can produce a toxic slime and has a great knowledge of herbs and potions."
Ashwinder,['Snake'],XXX,['grey'],['Worldwide'],"['Fire', 'Magic', 'Love Potions']","A thin, pale snake that rises from the ashes of magical fires. It is one of the most agile and fast creatures, often slithering off to lay fiery eggs in dark places. It has a pale and smooth skin and glowing red eyes. It can produce a hot fire and has a great knowledge of heat and combustion."
Billywig,['Insect'],XXX,['blue'],['Australia'],"['Giddiness', 'Hysteria', 'Levitation']","A bright blue, winged insect that stings and causes levitation and laughter. It is one of the most cheerful and musical creatures, often living in flocks and feeding on insects and fruits. It has a bright blue and smooth skin and a long, thin stinger. It can produce a giddy sensation and has a great knowledge of melodies and rhythms."
Crup,['Dog'],XXX,"['white', 'brown']",['England'],"['Wizards', 'Magic']","A dog-like creature with a forked tail and a taste for Muggle flesh. It is one of the most loyal and friendly creatures, often kept as pets by wizards and witches. It has a brown and smooth skin and a long, forked tail. It can produce a loud bark and has a great knowledge of Muggle habits and customs."
Diricawl,['Bird'],XXX,"['pink', 'blue']","['Mauritius', 'Indian Ocean']","['Dodo Bird', 'Magic', 'Potions']","A plump, fluffy bird that can disappear and reappear at will. It is one of the most elusive and intelligent creatures, often known as the dodo by Muggles who think it is extinct. It has a bluish-pink and fluffy skin and a long, thin beak. It can produce a vanishing act and has a great knowledge of history and mysteries."
Doxy,"['Fairy', 'Pixie']",XXX,['black'],"['United States', 'Northern Europe']",['Lesser Fae'],"A small, black, fairy-like creature with venomous teeth and an aggressive temperament. It is one of the most rude and harmful creatures, often infesting houses and biting humans and animals. It has a black and smooth skin and a pair of wings. It can produce a venomous bite and has a great knowledge of gossip and secrets."
Dugbogs,['Toad'],XXX,"['green', 'brown']","['United States', 'South America', 'Europe']","['Mandrakes', 'Marshes', 'Bark']","A marsh-dwelling creature that looks like a piece of dead wood. It is one of the most destructive and parasitic creatures, often feeding on small animals and occasionally attacking humans. It has a brown and slimy skin and a large, round mouth. It can produce a foul-smelling gas and has a great knowledge of pressure and depth."
Fire Crab,"['Tortoise', 'Crab']",XXX,"['grey', 'brown']",['Oceania'],"['Fire', 'Jewels', 'Poachers']","A large, tortoise-like crab with a jeweled shell and a fiery defense. It is one of the most beautiful and peaceful creatures, often living in the island of Fiji and feeding on plants. It has a multicolored and jeweled skin and a pair of claws. It can produce a flame from its rear end and has a great knowledge of gems and treasure."
Giant Fire Crab,"['Fire Crab', 'Crab', 'Tortoise']",XXX,"['scarlet', 'grey']",['Oceania'],"['Fire', 'Jewels', 'Poachers']","A giant, tortoise-like crab with a jeweled shell and a fiery defense. It is one of the most powerful and majestic creatures, often living in the island of Fiji and feeding on large animals. It has a multicolored and jeweled skin and a pair of huge claws. It can produce a blast of fire from its rear end and has a great knowledge of gems and treasure."
Hippogriff,"['Eagle', 'Horse']",XXX,"['pink', 'orange', 'brown', 'grey', 'black']",['Europe'],"['Griffins', 'Racing', 'Reverance', 'Courtesy', 'Charms']","A winged, horse-like creature with the head and forelegs of an eagle and the body and hindlegs of a horse. It is one of the most graceful and noble creatures, often forming a strong bond with a single wizard or witch. It has a brown and smooth skin and a pair of wings. It can fly and carry heavy loads and has a great knowledge of etiquette and manners."
Hodag,"['Frog', 'Dog', 'Hedgehog']",XXX,"['grey', 'black']",['United States'],"['Woodlands', 'Poachers']","A horned, lizard-like creature with red eyes and a row of spines along its back. It is one of the most ferocious and bloodthirsty creatures, often living in the forests of North America and feeding on humans and animals. It has a green and rough skin and a pair of horns. It can produce a loud roar and has a great knowledge of stealth and evasion."
Knarl,['Hedgehog'],XXX,['brown'],"['United States', 'Northern Europe']","['Paranoia', 'Magical Plants']","A hedgehog-like creature that is very suspicious of humans and their offerings. It is one of the most prickly and unfriendly creatures, often living in gardens and fields and destroying human belongings. It has a brown and spiky skin and a small, pointed nose. It can produce a sharp quill and has a great knowledge of human psychology and behavior."
Kneazle,['Cat'],XXX,['multi'],['United Kingdom'],"['Wizards', 'Magic']","A cat-like creature with a lion-like tail and a keen intelligence. It is one of the most curious and friendly creatures, often kept as pets by wizards and witches. It has a brown and smooth skin and a long, fluffy tail. It can produce a loud purr and has a great knowledge of navigation and geography."
Moke,['Lizard'],XXX,"['silver', 'green']","['United Kingdom', 'Ireland']","['Purses', 'Money-Bags']","A lizard-like creature that can shrink at will. It is one of the most elusive and cunning creatures, often living in the British Isles and feeding on insects and plants. It has a green and smooth skin and a long, thin tail. It can produce a shrinking act and has a great knowledge of heat and combustion."
Murtlap,"['Rat', 'Lavellan']",XXX,['pink'],['United Kingdom'],"['Lavellan', 'Healing', 'Potions', 'Murlap Essence', 'Pain Relief']","A rat-like creature with a growth on its back that resembles a sea anemone. It is one of the most useful and herbivorous creatures, often living in the coastal areas of Britain and feeding on seaweed and fish. It has a brown and rough skin and a long, thin growth. It can produce a healing substance and has a great knowledge of herbs and potions."
Niffler,"['Platypus', 'Mole']",XXX,['black'],['United Kingdom'],"['Treasure', 'Hunting', 'Shiny Things']","A mole-like creature with a long snout and a pouch on its belly. It is one of the most mischievous and greedy creatures, often attracted to shiny objects and stealing them. It has a black and smooth skin and a long, pointed snout. It can produce a loud squeak and has a great knowledge of gold and treasure."
Pixie,"['Fairy', 'Doxy']",XXX,['blue'],['United Kingdom'],"['Pixie Dust', 'Hyperactivity, 'Insomnia']","A small, blue, fairy-like creature with a high-pitched voice and a penchant for mischief. It is one of the most cheerful and musical creatures, often living in flocks and feeding on insects and fruits. It has a blue and smooth skin and a pair of wings. It can produce a giddy sensation and has a great knowledge of melodies and rhythms."
Red Cap,['Dwarf'],XXX,['green'],['Northern Europe'],"['Dungeons', 'Castles', 'Battlegrounds', 'Forbidden Forest']","A small, goblin-like creature with red eyes and a pointed hat. It is one of the most evil and violent creatures, often living in places where blood has been shed and feeding on human flesh. It has a red and coarse skin and a long, pointed hat. It can produce a powerful blow and has a great knowledge of history and mysteries"
Amazonian Salamander,['Salamander'],XXX,['green'],['South America'],"['Salamander Fire', 'Volcanic Rock', 'Volcanic Soil', 'Potions']","A salamander native to the Amazon rainforest. It has a green and smooth skin and a long, thin tail. It is one of the most agile and fast creatures, often slithering through the trees and feeding on insects and fruits. It can produce a sticky and bitter substance that can be used to cure the effects of the Fwooper’s song."
Fire Dwelling Salamander,['Salamander'],XXX,"['black', 'yellow', 'blue', 'red']",['Worldwide'],"['Salamander Fire', 'Scale Rot']","A salamander native to the Indian Ocean. It has a red and smooth skin and a long, thin tail. It is one of the most powerful and majestic creatures, often living in the flames and feeding on fire. It can produce a hot fire and has a great knowledge of heat and combustion."
Frost Salamander,['Salamander'],XXX,['blue'],['Not specified'],"['Ice', 'Caraboct Scorpions', 'Apothecarists', 'Potions']","A salamander native to the Plane of Ice. It has a blue and smooth skin and a long, thin tail. It is one of the most resilient and stubborn creatures, often living in the snow and ice and feeding on cold. It can produce a cold frost and has a great knowledge of pressure and depth."
Peruvian Salamander,['Salamander'],XXX,['purple'],['Peru'],"['Salamander Fire', 'Apothecarists', 'Potions', 'Strength']","A salamander native to Peru. It has a copper and smooth skin and a long, thin tail. It is one of the most intelligent and curious creatures, often living in the mountains and valleys and feeding on plants and animals. It can produce a shrinking act and has a great knowledge of navigation and geography."
Sea Serpent,"['Horse', 'Snake', 'Dragon', 'Eel']",XXX,"['blue', 'purple']","['Atlantic Ocean', 'Pacific Ocean', 'Mediterranean Sea']","['Sargasso Sea Serpents', 'Floating School of the Bermuda Triangle']","A serpent native to the sea. It has a green and scaly skin and a long, thick body. It is one of the most ancient and diverse creatures, with many different subspecies and cultures, such as the Leviathan, the Kraken, and the Loch Ness Monster. It can swim and jump and has a great knowledge of aquatic life and mysteries."
Chizpurfle,"['Insect', 'Mite']",XX,"['brown', 'black', 'green']",['Worldwide'],"['Magic', 'Electricity']","A small, crab-like parasite that feeds on magic. It has a brown and coarse skin and a pair of claws. It is one of the most destructive and parasitic creatures, often infesting magical objects and creatures and causing them to malfunction or decay. It can produce a foul-smelling gas and has a great knowledge of magic and technology."
Jobberknoll,['Bird'],XX,['blue'],"['United States', 'Northern Europe']","['Aviaries', 'Apothecaries', 'Truth Serums', 'Memory Potions']","A small, blue, speckled bird that never makes any noise until the moment before it dies. It has a blue and fluffy skin and a long, thin beak. It is one of the most silent and perceptive creatures, often living in the forests and fields and feeding on small insects. It can produce a long scream that consists of every sound it ever heard backwards and has a great knowledge of history and secrets."
Ramora,['Fish'],XX,['silver'],['Indian Ocean'],"['Magic', 'Boats', 'Guardians', 'Love Potions', 'Pregnancy Aid']","A silver fish that has strong magical power to anchor ships in place. It has a silver and smooth skin and a long, sharp snout. It is one of the most revered and ancient creatures, often living in the Indian Ocean and feeding on seaweed and fish. It can produce a vanishing act and has a great knowledge of astrology and geometry."
Augurey,"['Bird', 'Vulture']",XX,['green'],"['United Kingdom', 'Ireland']","['Rain', 'Death']","A thin, greenish-black bird that resembles a vulture and can emit a distinctive low cry. It has a greenish-black and rough skin and a long, sharp beak. It is one of the most gloomy and sluggish creatures, often living in the forests and swamps and feeding on insects and fairies. It can produce a sense of despair and has a great knowledge of weather and divination."
Bowtruckle,"['Plant', 'Insect']",XX,"['brown', 'green']","['United Kingdom', 'Germany', 'Scandinavia']","['Home Tree', 'Trees', 'Wand Wood']","A small, camouflaged creature that lives in the bark and twigs of trees and feeds on wood lice. It has a green and smooth skin and a pair of brown eyes. It is one of the most peaceful and herbivorous creatures, often living in the forests and gardens and avoiding human contact. It can produce a sharp finger and has a great knowledge of herbs and potions."
Clabbert,"['Frog', 'Monkey']",XX,['green'],['Worldwide'],['Trees'],"A tree-dwelling creature that resembles a monkey with a large pustule on its forehead. It has a brown and smooth skin and a pair of webbed hands and feet. It is one of the most mischievous and friendly creatures, often living in the woods and feeding on insects and fruits. It can produce a red light from its pustule and has a great knowledge of human psychology and behavior."
Fairy,['Pixie'],XX,['multi'],['Worldwide'],"['Magical Gardens', 'Potions', 'Girding Potion', 'Augureys', 'Woods']","A small, winged, humanoid creature that has a high-pitched voice and a penchant for mischief. It has a pale and smooth skin and a pair of wings. It is one of the most cheerful and musical creatures, often living in flocks and feeding on insects and fruits. It can produce a giddy sensation and has a great knowledge of melodies and rhythms."
Ghoul,"['Ghoul' ,'Ogre']",XX,"['grey', 'green']",['Not specified'],"['Attics', 'Ghoul Task Force']","A slimy, buck-toothed creature that resembles an ogre and lives in the attics of wizarding households. It has a brown and slimy skin and a pair of large teeth. It is one of the most dim-witted and unfriendly creatures, often making noises and throwing objects. It can produce a loud grunt and has a great knowledge of human habits and customs."
Gnome,"['Potato', 'Rodent']",XX,['brown'],"['Europe', 'United States']","['Magical Gardens', 'Bennies Protection League']","A small, humanoid creature that lives in the gardens of wizarding households and feeds on the roots of plants. It has a brown and rough skin and a large, pointed nose. It is one of the most annoying and harmful creatures, often infesting gardens and biting humans and animals. It can produce a sharp bite and has a great knowledge of plants and potions."
Grindylow,['Water Demon'],XX,['green'],"['United Kingdom', 'Ireland']","['Merpeople', 'Dark Arts', 'Lakes']","A water-dwelling creature that resembles a green humanoid with horns and long fingers. It has a green and scaly skin and a pair of horns. It is one of the most cunning and malicious creatures, often living in the lakes and rivers and feeding on fish and humans. It can produce a powerful grip and has a great knowledge of currents and tides."
Imp,['Pixie'],XX,['brown'],"['United Kingdom', 'Ireland', 'Germany', 'Austria', 'Belgium', 'France']","['Marshlands', 'Demons', 'Fairies', 'Humor']","A small, humanoid creature that resembles a pixie but has a dark brown color and a mischievous temperament. It has a dark brown and smooth skin and a pair of wings. It is one of the most cheerful and musical creatures, often living in flocks and feeding on insects and fruits. It can produce a loud squeak and has a great knowledge of melodies and rhythms."
Chameleon Ghoul,['Ghoul'],XX,['grey'],['Europe'],"['Dark Arts', 'Disillusionment']","A ghoul that can change its appearance to match its surroundings. It has a smooth and colorful skin and a pair of large eyes. It is one of the most elusive and intelligent creatures, often hiding in the attics of wizarding households and observing human activities. It can produce a vanishing act and has a great knowledge of human psychology and behavior."
Mooncalf,['Calf'],XX,['grey'],['Worldwide'],['Full Moons'],"A shy creature that only comes out of its burrow during the full moon. It has a smooth and silver skin and a pair of large feet. It is one of the most peaceful and herbivorous creatures, often living in the fields and feeding on grass and plants. It can produce a beautiful dance and has a great knowledge of weather and divination."
Porlock,"['Gnome', 'Horse', 'Goat']",XX,['brown'],"['United Kingdom', 'Ireland']","['Horses', 'Sleeping Potions', 'Quieting Potions']","A horse-like creature that guards horses and lives in their stables. It has a rough and brown skin and a pair of horns. It is one of the most loyal and friendly creatures, often forming a strong bond with a single horse. It can produce a loud neigh and has a great knowledge of navigation and geography."
Puffskein,"['Puffskein', 'Cat']",XX,"['yellow', 'orange']",['Worldwide'],"['House Pets', 'Cuteness', 'Cheering Potions', 'Laughing Potions']","A small, fluffy, spherical creature that makes a humming sound when contented. It has a fluffy and yellow skin and a long, thin tongue. It is one of the most curious and friendly creatures, often kept as pets by wizards and witches. It can produce a loud hum and has a great knowledge of human psychology and behavior."
Pygmy Puff,['Puffskein'],XX,"['pink', 'purple']",['Worldwide'],"['Weasleys Wizarding Wheezes', 'House Pets', 'Dripping Noses']","A miniature version of the Puffskein that can be bred by wizards and witches. It has a fluffy and pink or purple skin and a pair of small eyes. It is one of the most cute and friendly creatures, often kept as pets by wizards and witches. It can produce a loud squeak and has a great knowledge of human psychology and behavior."
Horklump,"['Fungus', 'Mushroom']",X,['pink'],['Scandinavia'],['Potions'],"A pink, fleshy creature that resembles a mushroom and has black bristles. It has a fleshy and pink skin and a pair of black bristles. It is one of the most useless and parasitic creatures, often infesting gardens and feeding on earthworms and slugs. It can produce a foul odor and has a great knowledge of soil and compost."
Flobberworm,['Worm'],X,"['brown', 'pink']",['United Kingdom'],"['Potions', 'Mucus', 'Summoning Charms']","A thick, brown worm that eats vegetation and produces mucus for potions. It has a brown and smooth skin and two ends that are indistinguishable. It is one of the most peaceful and herbivorous creatures, often living in damp ditches and feeding on lettuce. It can produce a thick, treacle-like substance and has a great knowledge of herbs and potions."
